Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
1544,104,3.0,0,0.0,1.0,1.0,1.0,1.0,8442000.0
1647,104,3.0,0,0.0,1.0,1.0,1.0,1.0,9003000.0
1082,104,2.0,0,0.0,1.0,1.0,1.0,1.0,5923000.0
1128,104,2.0,0,0.0,1.0,1.0,1.0,1.0,6174000.0
1095,104,2.0,0,0.0,1.0,1.0,1.0,1.0,5994000.0
1496,104,3.0,0,0.0,1.0,1.0,1.0,1.0,8180000.0
1401,104,3.0,0,0.0,1.0,1.0,1.0,1.0,7662000.0
1538,213,3.0,0,1.0,1.0,1.0,1.0,1.0,8763000.0
1573,213,3.0,0,1.0,1.0,1.0,1.0,1.0,8957000.0
1181,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6581000.0
1687,213,3.0,0,1.0,1.0,1.0,1.0,1.0,9640000.0
1196,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6664000.0
1190,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6631000.0
1766,213,3.0,0,1.0,1.0,1.0,1.0,1.0,10000000.0
1730,213,3.0,0,1.0,1.0,1.0,1.0,1.0,9879000.0
1532,213,3.0,0,1.0,1.0,1.0,1.0,1.0,8529000.0
1305,235,2.0,0,0.0,1.0,1.0,0.0,0.0,7252000.0
1645,235,3.0,0,0.0,1.0,1.0,0.0,0.0,9037000.0
1315,235,2.0,0,0.0,1.0,1.0,0.0,0.0,7298000.0
1950,235,3.0,0,0.0,1.0,1.0,0.0,0.0,10400000.0
1750,235,3.0,0,0.0,1.0,1.0,0.0,0.0,9520000.0
1300,235,2.0,0,0.0,1.0,1.0,0.0,0.0,7229000.000000001
1830,235,3.0,0,0.0,1.0,1.0,0.0,0.0,9887000.0
1935,235,3.0,0,0.0,1.0,1.0,0.0,0.0,10300000.0
1285,235,2.0,0,0.0,1.0,1.0,0.0,0.0,7159999.000000001
2010,235,3.0,0,0.0,1.0,1.0,0.0,0.0,10700000.0
1615,235,3.0,0,0.0,1.0,1.0,0.0,0.0,8900000.0
